round,lowest,average
0,0.0,0.6351847731217722
1,0.0,0.8250745857036661
2,0.0,0.7449161715491444
3,0.0,0.6462155821491486
4,0.005159354570776092,0.6227559893758278
5,0.013946938734376373,0.625913759292689
6,0.18032786906463924,0.8643418652615055
7,0.08082573793933616,0.780560495408726
8,0.11509426778727132,0.8522093454384411
9,0.4752564954408836,0.8329250469657143
10,0.651499229363125,0.8163411962655619
11,0.6201157145720815,0.8307232096511324
12,0.503905068133425,0.7691904232716631
13,0.4132571298208178,0.7187782215286915
14,0.12735209921288265,0.6558645239973641
15,0.09936856530504834,0.6568583398104744
16,0.31268408260014086,0.6769998664900794
17,0.6794299074400195,0.8221099735058369
18,0.6498606831286633,0.9540448691418187
19,0.9135885009996637,0.9561717466062167
20,0.9455922927029822,0.9561766296171206
