round,time,effectiveNScans
0,Infinity,0.0
1,Infinity,0.0
2,Infinity,0.0
3,Infinity,0.0
4,117623.13825052728,0.0
5,50541.49021759387,0.0
6,19650.83231215954,0.0
7,29073.04835591812,0.0
8,11662.259222383736,0.0
9,10655.503503139333,0.0
10,10670.258428859348,0.0
11,9834.82946698353,0.0
12,14857.94518911508,0.0
13,18725.110882981277,0.0
14,28003.883936959766,3246.1160630402337
15,26929.985160368167,35570.01483963183
16,22122.130884357954,102877.86911564204
17,10759.194572530218,239240.80542746978
18,2545.1601126965043,497455.8398873035
19,2350.1062538350193,997650.893746165
20,2348.7754213218873,1997651.2245786781
